order_item_id,order_id,product_id,quantity,price_at_order
104,67,94,4,591.47
105,466,135,1,8.66
106,156,128,8,0.87
107,407,9,3,386.15
108,8,146,8,315.48
109,114,185,8,1.77
110,67,133,6,519.43
111,232,199,10,4.69
112,121,122,5,9.74
113,50,169,3,8.06
114,83,80,1,9807.41
115,62,120,1,81.25
116,34,95,2,41442.1
117,188,126,7,9631.39
118,293,163,5,1.12
119,479,198,2,372.78
120,208,197,3,45.28
121,397,26,10,51.84
122,291,116,10,8.42
123,304,160,8,8460.09
124,93,107,6,94050.49
125,460,78,3,21611.93
126,50,149,9,7452.97
127,135,82,7,2098.87
128,258,116,9,227.82
129,58,160,4,927.87
130,328,16,2,13209.18
131,102,120,10,4916.92
132,132,29,10,9925.17
133,463,152,4,3525.04
134,428,20,10,26.83
135,476,6,8,27.71
136,198,192,8,583.16
137,61,99,6,240.02
138,171,122,5,51.01
139,492,41,2,27521.25
140,236,159,9,4.45
141,413,51,6,97569.06
142,442,61,4,71.72
143,319,41,6,3.45
144,480,39,2,518.69
145,206,99,4,8.88
146,314,147,5,385.89
147,49,181,6,10.5
148,384,171,3,7689.1
149,498,113,8,430.97
150,87,196,3,841.88
151,385,159,9,95615.76
152,1,158,1,93029.78
153,251,15,5,167.91
154,11,132,10,9.75
155,168,85,2,4.71
156,275,152,5,2816
157,241,7,8,46444.4
158,256,109,3,1393.74
159,452,49,9,3.06
160,246,139,4,4.97
161,165,69,2,1.49
162,75,187,8,13694.38
163,365,7,7,36.31
164,301,102,8,911.27
165,16,157,5,30.46
166,315,127,10,6702.38
167,432,57,4,9099.86
168,79,67,7,4629.36
169,277,170,4,0.83
170,335,108,2,1.14
171,408,160,3,76090.21
172,185,148,6,575.48
173,195,197,6,7.68
174,390,98,5,8514.21
175,310,107,1,5589.66
176,466,66,2,5.31
177,75,169,4,58.39
178,378,1,6,9135.33
179,246,51,8,62.5
180,264,77,4,80.62
181,482,200,5,394.81
182,299,193,10,9.57
183,33,12,5,70237.22
184,403,17,7,2305.95
185,283,66,5,28161.07
186,402,113,5,447.15
187,422,24,7,59.29
188,404,149,10,45.6
189,407,16,7,928.16
190,255,44,5,349.12
191,145,100,7,71911.82
192,371,47,6,6.65
193,245,79,5,265.42
194,390,94,10,5155.27
195,413,122,6,58.65
196,359,10,9,1.81
197,197,38,9,67.73
198,435,176,5,6.7
199,92,129,10,920.16
200,218,136,1,4.77
201,413,72,6,3521.22
202,481,16,5,99.15
203,276,94,5,835.83
204,117,2,4,51.83
205,339,63,4,831.27
206,98,33,10,82210.95
207,307,18,8,742.64
208,491,158,7,0.17
209,262,171,4,79490.8
210,156,175,5,854.17
211,231,163,3,5.99
212,280,77,8,25.08
213,377,66,3,977.37
214,354,18,8,15.98
215,221,156,9,8594.83
216,411,101,5,68404.76
217,273,55,4,2014.61
218,351,167,8,9173.5
219,319,86,2,0.22
220,158,18,2,69173.61
221,160,178,7,40.69
222,274,79,3,68922.81
223,156,88,3,7653.96
224,249,39,5,99.64
225,236,188,7,343.77
226,162,159,7,92.86
227,336,81,1,56.25
228,119,114,1,896.42
229,305,13,4,5
230,365,44,9,8.42
231,338,131,5,8365.8
232,20,114,5,261.05
233,233,9,7,90.88
234,114,87,1,695.8
235,113,169,8,451.16
236,305,17,4,353.37
237,349,66,1,77813.46
238,391,107,6,2603.65
239,14,111,3,11.49
240,21,62,2,4.71
241,91,11,2,922.73
242,394,84,8,8.96
243,335,48,7,5017.12
244,37,73,2,8888.43
245,214,134,6,526.92
246,463,57,1,76017.8
247,378,62,1,196.88
248,483,113,8,3144.95
249,116,70,6,6793.59
250,285,159,9,22.64
251,278,116,9,382.91
252,362,135,9,824.66
253,316,152,10,32204.8
254,348,96,4,2691.09
255,124,178,5,97.63
256,30,68,9,40886.88
257,285,154,3,420.43
258,281,75,5,7.85
259,98,45,3,57650.02
260,237,63,8,778.53
261,209,140,4,1822.59
262,348,29,4,85.1
263,368,68,3,96363.16
264,495,107,5,331.41
265,7,131,1,0.98
266,341,183,4,6692.5
267,308,19,6,7268.79
268,89,24,9,7410.93
269,487,51,5,8044.5
270,20,197,3,14.94
271,302,176,10,8697.07
272,410,190,9,8053.95
273,456,60,2,6693.91
274,77,146,2,61068.23
275,473,166,7,7.15
276,426,2,7,6.69
277,339,148,9,509.55
278,280,122,4,85.78
279,459,18,9,4887.43
280,94,80,10,1.29
281,25,12,4,5.74
282,243,175,7,22842.51
283,161,109,2,30742.61
284,236,152,4,18.15
285,238,186,6,5.84
286,487,121,10,47339.58
287,91,88,2,6373.16
288,467,150,1,1.1
289,407,9,3,48.32
290,64,104,8,782.54
291,358,135,3,6456.35
292,462,171,6,28.48
293,442,111,8,95412.17
294,5,10,5,85.15
295,268,75,9,6.62
296,77,171,2,5767.86
297,178,57,7,19239.81
298,284,105,10,0.1
299,308,122,7,21806.6
300,133,86,1,5396.26
301,118,127,4,995.33
302,396,45,5,159.83
303,377,84,3,857.13
304,114,160,1,56006.95
305,228,179,1,904.45
306,225,89,3,1.04
307,167,58,5,0.04
308,418,184,3,8849.71
309,350,23,5,131.07
310,449,65,10,65.01
311,395,175,4,791.97
312,141,181,9,847.97
313,489,104,1,847.6
314,316,152,9,68164.11
315,112,113,5,5.81
316,149,88,1,2.52
317,466,54,9,38.3
318,153,51,4,82.94
319,409,17,1,78363.37
320,393,73,2,687.42
321,464,172,2,2061.23
322,61,197,6,23.28
323,428,78,3,40064.87
324,289,188,2,8888.57
325,168,43,8,96922.67
326,328,43,10,5760.03
327,421,127,8,8030.58
328,449,150,5,50172.94
329,281,102,7,105.6
330,294,12,4,81447.45
331,280,53,7,1649.1
332,322,84,5,1453.71
333,102,192,10,306.42
334,499,31,1,68429.54
335,66,74,9,50689.08
336,35,29,9,8.49
337,257,175,9,325.84
338,231,46,9,96.3
339,292,2,9,81.75
340,1,193,9,6.02
341,484,54,7,709.93
342,72,186,8,5.73
343,173,90,6,716.5
344,228,45,9,0.1
345,40,50,2,7.48
346,374,6,4,94.84
347,148,163,4,48625.21
348,335,84,8,9.89
349,402,107,6,56959.1
350,282,81,6,23.88
351,388,75,2,6.34
352,66,155,2,593.71
353,48,156,5,66978.54
354,196,27,8,53.75
355,411,174,3,5460.53
356,281,114,4,289.23
357,49,110,5,3.76
358,449,192,4,27211.57
359,243,83,5,48.88
360,480,34,8,94397.36
361,236,79,10,112.71
362,208,143,3,5006.57
363,169,19,4,5499.15
364,13,21,1,98.16
365,98,159,7,4006.58
366,19,154,8,3.66
367,411,154,5,43896.88
368,250,65,5,77.14
369,18,136,8,27075.98
370,156,55,5,24.65
371,97,37,3,35.83
372,487,148,2,55910.44
373,41,183,1,55278.7
374,367,88,5,18021.42
375,5,134,7,715.79
376,198,11,2,924.21
377,482,80,3,745.86
378,218,101,4,9.12
379,495,10,5,9.27
380,358,166,8,60.02
381,481,123,3,6.65
382,36,195,1,39580.19
383,14,15,3,95590.85
384,77,7,7,3504.66
385,191,137,7,20597.47
386,13,47,9,183.68
387,194,31,1,73.57
388,309,94,5,45.47
389,162,177,1,937.97
390,417,132,6,8651.76
391,23,150,2,5342.25
392,457,65,3,73472.54
393,12,190,5,1150.51
394,227,42,9,82523.71
395,111,196,8,684.4
396,413,90,10,25.46
397,156,33,6,62.95
398,50,190,6,1.81
399,55,77,5,7613.68
400,291,133,5,2.39
401,436,167,7,16214
402,399,4,3,6763.4
403,14,103,4,5.25
404,465,151,6,76631.39
405,382,76,6,513.13
406,34,123,10,4
407,89,176,1,850.79
408,159,183,7,76616.92
409,480,159,4,29079.15
410,229,165,1,0.39
411,225,35,7,2887.9
412,298,78,3,2258.97
413,492,112,4,4.93
414,69,57,2,4986.76
415,379,8,1,99894.47
416,32,97,7,23.38
417,468,7,6,0.84
418,177,90,3,366.16
419,190,9,8,446.97
420,423,127,1,68.04
421,96,51,3,4346.45
422,319,80,1,42948.78
423,400,131,9,94038.29
424,180,180,3,4283.78
425,244,172,5,61345.73
426,207,110,1,21840.93
427,228,135,5,0.53
428,287,15,7,8.34
429,37,33,3,3544.24
430,470,18,1,1627.35
431,434,123,1,78690.97
432,97,170,3,73894.17
433,232,46,10,94.73
434,176,47,3,65793.57
435,433,33,1,68240.99
436,10,131,8,759.85
437,124,97,4,182.5
438,429,113,6,82.21
439,278,180,10,69.98
440,212,152,5,9.14
441,253,163,10,62.23
442,225,47,2,2.87
443,286,139,1,0.81
444,205,130,1,9578.85
445,223,64,7,699.17
446,37,3,2,7203.58
447,180,111,7,94.85
448,213,90,6,1.9
449,380,140,3,3191.55
450,325,94,4,3965.59
451,435,66,9,9.88
452,6,105,10,213.07
453,210,12,9,18.45
454,327,87,5,8.18
455,153,145,8,78340.75
456,151,177,8,5.12
457,237,22,3,84.33
458,326,22,4,462.67
459,460,187,2,3840.36
460,453,69,10,90.55
461,345,170,4,0.6
462,68,114,4,7.84
463,70,198,3,36.79
464,107,156,3,27.51
465,92,121,3,4.89
466,423,69,3,8.57
467,367,138,2,37615.16
468,379,148,2,6977.48
469,166,78,3,48521.99
470,79,112,10,5449.67
471,61,41,8,9.87
472,138,91,10,30744.73
473,98,101,5,475.26
474,114,5,10,76433.33
475,98,195,8,5782.69
476,262,113,10,817.02
477,491,47,4,97.75
478,227,115,2,58194.51
479,408,156,10,4289.8
480,197,117,1,2622.38
481,352,79,9,72105.24
482,173,116,1,9168.64
483,129,50,1,0.53
484,4,19,10,149.05
485,403,29,6,6065.66
486,421,19,6,7732.73
487,480,128,10,35134.75
488,94,41,1,783.28
489,186,50,3,2.31
490,464,23,3,7108.88
491,401,61,6,6.72
492,260,82,4,500.59
493,143,1,5,670.91
494,329,144,2,50152.76
495,345,191,6,160.1
496,32,49,7,699.33
497,148,18,1,79313.04
498,326,38,2,311.18
499,476,175,3,416.53
500,267,109,5,5.66
501,212,30,4,786.19
502,58,27,2,369.86
503,77,137,10,4037.3
504,461,119,7,26040.62
505,342,67,4,2.8
506,40,169,2,28280.2
507,9,59,10,3.39
508,470,176,7,112.65
509,411,90,4,74413.97
510,33,200,7,78.45
511,161,88,10,52051.97
512,151,200,5,96232.72
513,184,91,1,351.15
514,454,81,7,76718.98
515,443,76,2,3.7
516,159,89,7,27.53
517,482,100,4,60.57
518,390,117,6,89235.16
519,278,85,7,577.75
520,121,144,7,345.6
521,239,166,5,23.17
522,85,200,7,41832.33
523,61,154,3,50.46
524,328,103,10,1.56
525,85,38,2,6759.79
526,281,181,1,4.13
527,476,135,5,56.91
528,61,71,2,106.96
529,268,21,7,0.92
530,437,95,8,0.36
531,363,33,3,2622.88
532,414,29,2,32.48
533,318,147,10,0.88
534,477,184,10,60770.06
535,416,36,4,118.44
536,235,113,7,38.96
537,336,20,3,63496.71
538,140,155,3,7672.45
539,200,126,8,74.54
540,133,198,6,57.4
541,420,166,2,644.83
542,195,100,8,907.63
543,260,43,7,42.48
544,228,24,9,79113.21
545,207,175,3,90.86
546,56,38,10,6669.79
547,2,121,9,85762.67
548,484,118,4,3.41
549,468,54,9,8.6
550,172,125,6,25.54
551,78,98,6,58.75
552,13,93,4,590.09
553,1,64,7,229.41
554,240,120,6,110.91
555,217,3,3,9810.15
556,449,33,10,8.41
557,436,110,2,96425.01
558,1,137,7,2.65
559,187,192,7,2831.9
560,191,127,7,79094.11
561,201,31,7,3422.66
562,171,200,5,70.66
563,97,41,7,216.92
564,493,73,6,3009.47
565,397,117,5,668.71
566,371,27,3,951.67
567,258,106,10,2726.21
568,21,71,10,6191.39
569,479,37,9,2997.98
570,182,137,5,25.21
571,241,141,3,30.92
572,89,87,6,94412
573,256,196,2,12553.47
574,94,103,10,7538.35
575,262,127,2,4640.73
576,371,118,9,514.68
577,211,175,7,90273.29
578,108,66,2,9104.91
579,49,8,2,973.93
580,467,77,5,9293.33
581,149,66,9,31394.81
582,92,45,4,26993.48
583,182,87,6,0.4
584,213,136,1,6330.78
585,33,69,1,23727.92
586,56,22,8,2.66
587,484,144,1,7323.02
588,27,159,7,378.51
589,457,101,3,913.86
590,252,88,2,84.83
591,85,33,6,4531.64
592,190,12,7,2.57
593,314,95,9,19366.73
594,193,21,5,852.22
595,337,162,9,3321.03
596,38,62,6,8028.93
597,154,13,7,3292.55
598,157,184,5,3.06
599,134,130,1,40.88
600,318,16,7,6476.85
601,69,166,1,6.69
602,444,5,6,3.28
603,489,84,3,44016.1
604,487,43,6,6.95
605,104,139,9,118.7
606,403,116,8,44.84
607,61,176,6,19.57
608,10,34,4,42.42
609,346,111,6,9317.16
610,186,21,7,3.41
611,146,113,8,8161.6
612,339,22,10,3266.96
613,266,178,9,15.72
614,212,37,1,449.34
615,143,69,3,43254.55
616,23,116,7,5424.28
617,492,172,7,17399.95
618,144,149,10,697.42
619,497,73,7,71125.64
620,244,17,2,32.84
621,306,20,8,18200.28
622,332,122,10,8.57
623,407,140,9,2823.82
624,318,140,1,98.37
625,287,56,3,70599.6
626,273,126,2,59.81
627,77,111,10,30.71
628,250,166,9,48302.34
629,85,79,8,64.88
630,438,53,9,9267.18
631,335,62,5,1219.9
632,292,48,10,0.17
633,257,92,3,72787.35
634,387,65,1,751.46
635,256,150,2,41.15
636,86,150,7,4322.09
637,472,75,4,4
638,278,28,10,58.77
639,462,156,9,92542.23
640,299,41,5,29909.6
641,64,180,1,2.93
642,345,188,7,8902.83
643,52,12,4,835.61
644,65,83,3,3804.58
645,445,75,2,8423.18
646,341,183,10,59203.36
647,335,165,4,9.18
648,471,53,4,561.83
649,354,92,7,615.66
650,463,119,1,88893.22
651,390,135,5,5775.08
652,358,20,6,8.32
653,127,101,3,20491.93
654,135,55,2,743.73
655,412,10,5,641.76
656,32,199,4,65997.7
657,123,31,10,76673.35
658,485,141,7,5062.05
659,317,56,7,69.64
660,182,168,4,189.46
661,458,199,6,60339.4
662,6,189,4,1289.19
663,53,85,1,509.66
664,272,50,5,68.76
665,444,140,2,23.15
666,211,131,1,5.9
667,148,132,3,8559.35
668,7,114,3,577.82
669,213,79,8,3996.63
670,393,163,3,39.97
671,220,117,7,10509.21
672,149,47,6,593.83
673,109,120,6,53996.51
674,129,123,2,98712.12
675,442,129,2,4.2
676,381,47,9,9948.26
677,344,126,8,34.97
678,153,118,6,8058.59
679,500,73,1,4.18
680,408,76,6,95.84
681,264,13,9,14.39
682,181,74,8,309.98
683,430,95,3,95.79
684,7,77,5,44.7
685,28,123,10,64.16
686,489,154,3,294.99
687,332,7,7,4599.21
688,399,87,10,50548.81
689,195,165,3,70316
690,30,56,8,8842.01
691,138,67,5,7.28
692,3,88,9,72437.3
693,120,65,4,0.74
694,49,196,4,95.36
695,297,90,9,18815.76
696,327,125,3,711.92
697,430,45,5,43576.34
698,395,38,5,89358.79
699,343,139,9,30579.08
700,229,79,4,23952.82
701,463,171,7,66.44
702,111,46,9,4447.48
703,430,94,2,2197.6
704,457,71,6,28.35
705,288,155,2,6.96
706,47,196,3,61701.67
707,427,188,8,560.11
708,232,9,1,2807.61
709,421,68,3,942.83
710,274,80,1,7432.55
711,103,91,3,4568.4
712,195,2,10,62.59
713,410,84,3,60413.21
714,201,77,3,99.39
715,384,170,9,25.88
716,53,135,8,5.2
717,359,159,6,1133.45
718,21,10,6,21.35
719,428,85,3,32548.17
720,191,91,6,30.5
721,75,109,9,8463.96
722,125,36,8,781.84
723,445,12,9,0.18
724,321,76,2,62190.99
725,84,11,3,9.53
726,73,57,9,24.09
727,373,120,9,9
728,153,116,10,88.11
729,299,134,5,77185.29
730,451,27,8,7016.28
731,313,135,1,8.48
732,162,101,5,438.35
733,214,161,4,6847.62
734,465,6,10,96.43
735,29,134,6,3.48
736,190,112,8,3.31
737,287,200,4,1.1
738,88,4,6,9799.65
739,146,17,7,79504.59
740,43,147,9,96.79
741,10,187,5,8581.3
742,233,44,7,433.45
743,428,132,4,8.5
744,401,163,10,2495
745,26,1,1,2.79
746,288,167,1,4261.7
747,45,168,1,89644.14
748,262,170,4,880.87
749,381,45,2,93805.93
750,129,9,6,200.55
751,238,188,3,11.57
752,355,111,3,151.71
753,44,18,5,4462.26
754,439,5,4,66.95
755,180,183,8,43.12
756,306,75,6,92997.5
757,12,175,9,510.03
758,336,175,8,342.22
759,309,167,1,30290.76
760,155,103,2,7.49
761,35,48,1,36.78
762,473,170,1,45742.32
763,477,187,8,64822.84
764,101,73,6,8434.24
765,36,126,4,8.45
766,376,79,3,8076.14
767,243,155,7,6.11
768,84,31,8,8.57
769,105,156,8,808.11
770,125,35,9,893.59
771,446,78,1,1.52
772,43,107,7,90.56
773,247,143,8,1.54
774,459,153,7,343.85
775,136,71,6,93814.19
776,479,164,5,3.09
777,382,61,7,9827.82
778,252,8,7,77.06
779,41,142,4,7.49
780,345,81,10,85011.15
781,447,172,6,969.42
782,30,180,7,43.15
783,353,45,5,640.4
784,500,2,10,75.97
785,486,197,10,4.52
786,330,35,7,8841.11
787,401,115,8,9435.73
788,226,93,3,19682.3
789,99,170,7,7.59
790,208,39,5,857
791,4,57,2,2.88
792,280,177,7,149.23
793,220,150,6,76.57
794,330,24,1,31.83
795,89,157,1,4733.46
796,432,135,3,6.33
797,356,178,9,590.99
798,271,92,6,25.68
799,106,4,9,15665.5
800,485,105,1,98443.98
801,193,26,8,3113.41
802,54,98,9,99.32
803,64,195,6,33.33
804,18,19,1,93.25
805,329,138,10,7.82
806,175,116,7,222
807,295,129,1,4260.69
808,170,111,6,2.58
809,423,80,1,26.85
810,250,32,8,4346.73
811,239,162,4,843.62
812,79,107,1,9962.31
813,17,178,10,70148.22
814,107,99,7,71.9
815,92,81,8,2612.05
816,392,162,4,42016.06
817,369,28,8,80.69
818,485,194,10,70.11
819,49,132,7,8540.34
820,456,87,7,518.26
821,63,67,8,23.47
822,425,196,5,40695.47
823,155,187,10,30511.71
824,282,98,7,2488.89
825,246,161,9,56712.05
826,277,124,4,2214.29
827,103,26,10,935.98
828,310,157,8,441.56
829,369,13,9,33.42
830,86,95,1,454.05
831,453,37,3,37.06
832,205,102,6,48755.91
833,446,95,8,14.97
834,438,51,3,38.64
835,453,133,7,0.98
836,309,38,5,0.73
837,493,11,1,91.51
838,141,148,10,59893.12
839,416,72,6,1.84
840,16,86,1,435.38
841,255,57,7,70.27
842,338,120,9,716.86
843,59,130,6,734.63
844,162,119,10,1.99
845,418,27,4,408.58
846,229,166,10,42.43
847,29,42,5,4.78
848,132,138,3,857.84
849,466,123,6,93837.84
850,147,27,10,2497.96
851,77,152,9,86989.3
852,450,8,10,9862.25
853,182,161,5,4219.6
854,436,79,1,6370.9
855,315,29,4,115.93
856,65,24,5,4.48
857,9,143,3,72048.76
858,275,66,3,23019.04
859,93,132,3,85.68
860,228,98,10,14.98
861,200,92,1,98.3
862,247,175,9,98907.03
863,110,161,1,58533.02
864,444,125,7,8.53
865,230,36,2,31804.73
866,98,152,5,833.66
867,236,176,4,28356.01
868,9,166,9,22.69
869,155,1,1,33.21
870,406,171,2,1496.76
871,138,150,10,4175.56
872,16,178,2,62660.92
873,286,10,4,4.24
874,294,20,7,6.41
875,325,143,1,401
876,17,148,9,6.51
877,160,29,1,6.31
878,90,141,10,28484.98
879,267,129,10,8063.53
880,142,3,2,4.07
881,451,93,7,51260.53
882,291,39,2,17.68
883,186,52,1,88252.8
884,151,84,8,2474.92
885,42,180,6,290.97
886,19,200,8,24111.83
887,67,159,2,36.69
888,480,63,10,4.28
889,152,10,8,57022.38
890,499,7,4,38695.7
891,397,19,10,28137.17
892,8,166,7,921.79
893,180,95,4,20197
894,335,93,7,34.74
895,417,79,10,1952.59
896,223,34,2,896.35
897,138,97,8,3340.92
898,191,180,9,39.89
899,443,40,6,1848.17
900,133,84,9,1466.17
901,344,147,4,689.78
902,83,130,2,35.16
903,279,70,9,8390.11
904,203,123,5,2.61
905,85,199,7,9569.87
906,363,153,3,4925
907,131,42,10,7176.58
908,346,25,4,102.45
909,173,140,8,47.01
910,70,153,6,603.58
911,365,19,10,19022.87
912,79,43,8,7.05
913,386,146,6,29.41
914,15,85,6,450.31
915,353,170,3,21862.92
916,297,170,6,15460.47
917,182,73,5,62600.16
918,172,76,7,259.45
919,45,101,4,810.33
920,173,191,1,33.3
921,51,50,1,36.38
922,456,63,5,48640.6
923,357,93,1,21.33
924,424,24,2,8092.44
925,85,184,5,34.8
926,51,121,8,30323.2
927,469,111,7,768.59
928,277,86,2,8583.73
929,248,95,10,4.74
930,258,183,9,76748.26
931,153,83,7,8.26
932,418,60,3,4.45
933,159,111,7,84.02
934,43,52,2,76.35
935,307,109,4,6.75
936,54,162,10,68.18
937,387,109,6,79124.33
938,123,174,5,54069.81
939,290,172,1,6775.89
940,94,135,8,32.93
941,19,55,3,52.82
942,86,165,5,6251.61
943,221,49,7,141.89
944,209,32,1,25277.66
945,455,3,3,78038.13
946,387,194,4,569.65
947,149,34,2,283.59
948,318,23,10,878.47
949,438,50,7,34585.53
950,114,99,10,97161.97
951,243,53,5,90098.57
952,2,80,9,273.09
953,10,17,4,0.37
954,290,187,7,868.18
955,287,94,5,99.53
956,238,184,9,4.78
957,379,39,6,31246.92
958,197,129,5,73687.45
959,214,176,6,115.52
960,102,195,10,3.04
961,351,159,6,35479.24
962,169,132,4,276.48
963,256,34,4,6036.58
964,268,65,7,74959.55
965,266,161,6,88931.44
966,484,37,1,384.73
967,420,16,8,6.33
968,189,157,4,783.63
969,219,85,5,43.42
970,65,63,8,23.6
971,295,160,9,30.06
972,175,33,9,632.55
973,273,197,2,3.65
974,160,49,6,2.94
975,250,1,6,27800.34
976,98,112,2,74.68
977,431,53,1,98.74
978,243,109,9,6.61
979,317,138,9,680.58
980,8,192,5,44.56
981,221,128,7,9937.26
982,289,87,2,19805.18
983,137,142,6,38410.54
984,463,87,9,7.81
985,392,97,7,82.24
986,160,9,5,42522.78
987,351,115,8,45678.6
988,429,74,1,0.88
989,105,26,6,55.66
990,205,153,10,10191.94
991,264,166,2,311.17
992,439,128,10,74227.01
993,208,78,5,31055.92
994,412,13,1,5401.31
995,293,148,4,3.27
996,191,19,5,40.1
997,224,43,2,679.14
998,465,181,9,7.61
999,471,51,8,5.11
1000,371,14,4,51814
