payment_id,order_id,amount,payment_date,method
112,459,1718.19,2024-09-20,Gift Card
113,112,37714.2,2021-02-22,Apple Pay
114,256,579.92,2023-07-05,Credit Card
115,306,663.52,2021-08-21,Gift Card
116,312,2.65,2021-08-29,PayPal
117,59,997.97,2024-11-18,PayPal
118,112,832.97,2020-12-16,Apple Pay
119,462,586.98,2022-11-06,PayPal
120,52,95.86,2024-09-24,Apple Pay
121,492,623.68,2024-04-01,Gift Card
122,340,16.96,2024-09-01,Apple Pay
123,23,55.92,2023-10-25,PayPal
124,412,944.11,2021-11-27,Credit Card
125,412,47.34,2020-08-19,Gift Card
126,139,19.62,2021-01-08,Credit Card
127,19,883.39,2024-05-16,Gift Card
128,326,106.35,2023-01-25,PayPal
129,287,66.48,2020-02-26,PayPal
130,374,171.72,2023-09-11,Credit Card
131,338,4099.04,2024-09-03,Apple Pay
132,411,4137.42,2024-01-31,Apple Pay
133,215,53612.7,2020-11-01,Apple Pay
134,453,8656.08,2021-12-04,Gift Card
135,250,5,2020-10-07,Gift Card
136,351,6673.29,2023-10-15,PayPal
137,290,192.2,2022-03-13,Apple Pay
138,445,59.21,2023-07-17,PayPal
139,14,7539.9,2021-11-14,PayPal
140,240,20845.15,2021-10-02,Credit Card
141,478,29425.67,2022-05-11,Credit Card
142,483,8.34,2023-12-27,PayPal
143,64,5.67,2023-10-11,Credit Card
144,497,6.53,2023-03-20,Gift Card
145,109,7238.8,2021-05-23,Apple Pay
146,102,696.28,2023-06-04,Gift Card
147,142,0.08,2022-03-25,Gift Card
148,439,6.33,2024-12-20,Credit Card
149,469,7.38,2023-09-02,Credit Card
150,345,49104.36,2022-08-28,Apple Pay
151,176,96.75,2022-02-28,Gift Card
152,67,81274.09,2021-09-11,Gift Card
153,238,84.79,2024-11-18,Gift Card
154,63,196.42,2020-07-07,Apple Pay
155,467,335.71,2021-12-12,Credit Card
156,495,760.07,2024-08-30,Apple Pay
157,126,83912.65,2020-10-17,PayPal
158,40,6909.89,2021-01-30,Credit Card
159,421,58515.53,2022-03-06,Apple Pay
160,86,25814.04,2020-06-12,Apple Pay
161,36,703.64,2024-07-29,PayPal
162,169,62695.98,2021-08-22,PayPal
163,314,19396.16,2024-02-22,Apple Pay
164,369,4.86,2024-11-15,Gift Card
165,168,59.96,2023-07-17,PayPal
166,351,60811.6,2020-03-27,Apple Pay
167,64,3.45,2022-10-16,Apple Pay
168,116,233.6,2024-07-21,Credit Card
169,248,547.91,2022-10-16,PayPal
170,114,302.99,2022-02-20,Apple Pay
171,79,134.47,2022-02-21,Apple Pay
172,113,89.13,2020-09-22,Credit Card
173,68,21027.24,2023-11-08,Apple Pay
174,214,456.17,2022-07-14,Gift Card
175,485,2882.07,2024-08-17,Gift Card
176,85,494.84,2020-02-29,Credit Card
177,346,43293.89,2020-12-31,Apple Pay
178,281,2.66,2020-01-04,PayPal
179,256,3.54,2024-02-01,Credit Card
180,414,75.26,2021-12-23,PayPal
181,454,90444.78,2020-03-13,Gift Card
182,473,7.16,2024-10-21,PayPal
183,285,87.75,2023-06-28,Gift Card
184,78,2.6,2024-01-07,Credit Card
185,68,4114.97,2023-03-20,Credit Card
186,204,8.62,2022-02-20,PayPal
187,430,9242.57,2024-09-06,Gift Card
188,355,75897.14,2022-10-18,Credit Card
189,219,523.4,2021-02-08,Apple Pay
190,358,7161.84,2024-11-30,PayPal
191,389,710.22,2020-03-28,Apple Pay
192,227,87506.6,2020-06-05,PayPal
193,386,59419.72,2021-03-27,PayPal
194,37,0.89,2020-01-30,Apple Pay
195,296,10764.87,2023-12-06,Gift Card
196,496,3202.51,2020-12-23,PayPal
197,301,88.47,2021-10-20,Apple Pay
198,137,8299.39,2022-05-20,Credit Card
199,483,7490.9,2020-09-11,Apple Pay
200,499,465.95,2022-02-23,Apple Pay
201,162,618.51,2022-02-11,Gift Card
202,442,6838.35,2022-04-02,Apple Pay
203,220,2.96,2023-12-29,PayPal
204,105,96044.56,2023-06-30,Apple Pay
205,322,39.23,2023-11-24,Credit Card
206,404,846.59,2024-08-23,Gift Card
207,280,6779.69,2023-03-23,PayPal
208,90,7.8,2022-02-28,Credit Card
209,473,8919.06,2024-07-03,Apple Pay
210,444,1412.77,2020-03-27,Gift Card
211,480,6.05,2022-06-24,Gift Card
212,131,7.92,2021-05-06,Credit Card
213,52,545.03,2024-08-09,PayPal
214,270,902.17,2023-02-21,PayPal
215,280,71.57,2021-08-16,Gift Card
216,37,74644.59,2023-08-27,PayPal
217,123,3.31,2021-09-08,Apple Pay
218,336,961.21,2021-07-03,Apple Pay
219,393,6335.99,2021-03-09,Credit Card
220,34,55.98,2020-04-17,Gift Card
221,29,70171.03,2021-06-20,Apple Pay
222,117,873.73,2023-05-17,PayPal
223,128,2287.33,2024-10-19,Credit Card
224,72,4404.84,2024-05-07,Gift Card
225,202,75336.43,2020-06-29,Gift Card
226,370,77.45,2021-08-06,Gift Card
227,20,1.26,2024-05-30,PayPal
228,154,8343.55,2024-08-07,Apple Pay
229,217,89.16,2020-10-27,Credit Card
230,206,0.94,2023-09-01,Apple Pay
231,229,601.12,2024-01-21,PayPal
232,477,68.64,2023-05-19,Gift Card
233,385,322.98,2024-02-03,Gift Card
234,201,7.54,2024-11-06,Gift Card
235,343,103.66,2021-07-31,Credit Card
236,42,42.17,2022-09-11,Apple Pay
237,306,7536.89,2021-12-19,Gift Card
238,346,9.95,2024-01-27,Credit Card
239,453,7586.69,2023-12-10,Credit Card
240,190,16653.75,2022-09-11,PayPal
241,495,41271.32,2023-10-08,PayPal
242,339,514.09,2020-03-05,PayPal
243,440,812.94,2022-05-08,Gift Card
244,500,63.95,2024-03-08,PayPal
245,246,15663.98,2021-01-09,Apple Pay
246,369,64.01,2022-07-12,Apple Pay
247,92,97.64,2020-01-28,Apple Pay
248,275,5.65,2021-01-21,Credit Card
249,96,923.42,2024-06-15,Credit Card
250,457,14506.93,2021-12-07,Apple Pay
251,336,1.72,2024-07-13,Gift Card
252,185,51440.88,2022-07-18,Credit Card
253,117,2616.83,2022-07-31,Credit Card
254,276,6.65,2021-11-01,PayPal
255,266,60876.68,2023-03-19,Gift Card
256,162,95.91,2023-02-27,PayPal
257,459,3940.9,2023-06-23,Gift Card
258,269,32.01,2020-11-08,PayPal
259,275,337.89,2023-09-25,Apple Pay
260,19,9810.71,2023-08-18,PayPal
261,132,31046.47,2020-10-04,Gift Card
262,182,56305.3,2024-09-15,Apple Pay
263,465,69969.17,2023-03-15,Apple Pay
264,9,2.76,2020-05-03,Credit Card
265,362,978.17,2024-07-05,Apple Pay
266,13,41.94,2024-04-09,PayPal
267,213,883.27,2020-12-17,Gift Card
268,219,75497.15,2021-09-27,Credit Card
269,455,5.65,2020-09-16,Apple Pay
270,321,37.32,2024-12-02,Credit Card
271,248,3755.53,2021-07-25,Gift Card
272,405,5252.31,2021-08-02,Apple Pay
273,343,40691.37,2022-03-22,Credit Card
274,85,81556.03,2023-06-02,Credit Card
275,384,28780.03,2021-07-15,PayPal
276,263,15.86,2024-10-03,Gift Card
277,347,5.68,2020-10-02,Apple Pay
278,484,96.28,2022-01-03,PayPal
279,487,6295.66,2021-06-09,PayPal
280,141,2.26,2023-02-23,Apple Pay
281,299,8944.31,2020-10-02,Gift Card
282,2,7.21,2023-10-07,Gift Card
283,59,403.39,2021-04-16,PayPal
284,338,32240.86,2022-12-22,PayPal
285,49,97.34,2021-11-12,Gift Card
286,303,9668.59,2024-10-05,Credit Card
287,132,1.17,2021-05-04,Credit Card
288,327,44528.27,2023-11-08,PayPal
289,475,80640.52,2021-03-04,Credit Card
290,359,217.83,2024-11-21,Gift Card
291,470,136.98,2022-04-12,Credit Card
292,66,257.39,2024-05-31,Gift Card
293,209,2216.32,2021-11-16,PayPal
294,356,36.71,2023-01-10,PayPal
295,221,16.42,2020-09-14,Gift Card
296,273,96.91,2021-08-03,PayPal
297,404,90.36,2021-01-24,PayPal
298,3,5584.92,2020-10-04,Apple Pay
299,474,43218.43,2024-10-02,Gift Card
300,164,16.33,2021-10-04,Credit Card
301,190,8189.35,2022-09-03,Gift Card
302,213,2582.9,2024-12-01,Apple Pay
303,290,53216.49,2023-05-27,PayPal
304,464,1838.62,2023-03-23,Apple Pay
305,307,35.34,2023-06-01,Credit Card
306,406,6482.53,2024-08-08,Gift Card
307,36,32.16,2021-05-19,Gift Card
308,394,74.65,2021-01-23,PayPal
309,212,71329.58,2023-03-06,Apple Pay
310,86,9.56,2024-01-04,Gift Card
311,22,5028.16,2021-08-29,Apple Pay
312,457,3.91,2023-04-25,PayPal
313,222,78012.28,2020-04-08,Gift Card
314,140,1.92,2022-02-22,Apple Pay
315,290,8343.94,2023-08-20,Credit Card
316,263,448.45,2024-03-31,PayPal
317,124,829.91,2022-12-26,Gift Card
318,166,4939.73,2021-10-22,Gift Card
319,433,18.72,2024-05-22,Credit Card
320,443,215.32,2024-02-18,Gift Card
321,185,46534.06,2023-03-21,Apple Pay
322,313,64.07,2023-04-08,Gift Card
323,427,3710.31,2023-04-28,PayPal
324,447,689.27,2020-10-11,Apple Pay
325,68,0.4,2024-07-13,Credit Card
326,16,62.7,2021-05-16,PayPal
327,25,22652.35,2021-09-22,Apple Pay
328,413,38974.37,2023-02-11,Credit Card
329,144,206.28,2022-01-30,PayPal
330,336,8177.56,2021-11-13,Credit Card
331,301,7941.17,2024-07-23,Apple Pay
332,442,10775.74,2022-08-02,PayPal
333,365,90400.93,2020-05-05,Apple Pay
334,17,9335.75,2021-05-06,Apple Pay
335,378,937.03,2021-04-09,Apple Pay
336,390,15618.69,2021-01-04,Credit Card
337,126,2014.73,2021-02-06,Credit Card
338,384,76.81,2024-02-18,Gift Card
339,153,57.29,2023-05-06,Gift Card
340,241,459.43,2021-11-15,Gift Card
341,91,586.93,2023-07-13,Gift Card
342,433,53.78,2024-05-13,PayPal
343,233,59256.79,2024-01-19,PayPal
344,251,90676.56,2020-11-03,Credit Card
345,472,2837.05,2022-07-10,Gift Card
346,186,5.16,2024-03-29,Credit Card
347,403,7920.3,2024-10-02,Gift Card
348,181,29.34,2022-10-11,Credit Card
349,34,6.52,2020-07-16,Apple Pay
350,415,247.97,2023-07-25,Credit Card
351,62,668.92,2024-08-30,Gift Card
352,232,68232.13,2024-01-11,PayPal
353,241,29917.19,2023-01-25,Gift Card
354,205,9324.61,2020-09-26,Gift Card
355,121,51242.11,2022-05-08,Credit Card
356,292,30902.51,2022-01-12,PayPal
357,41,75.84,2021-11-14,Credit Card
358,455,81283.77,2021-05-25,Apple Pay
359,496,716.14,2022-08-30,Credit Card
360,138,6089.46,2021-05-24,Apple Pay
361,248,24252.32,2021-10-10,PayPal
362,447,925.05,2022-04-30,Credit Card
363,395,387.11,2024-05-29,Gift Card
364,94,838.86,2022-06-01,Credit Card
365,483,6.39,2024-09-01,Credit Card
366,318,14147.29,2023-07-10,Credit Card
367,360,5.84,2022-03-29,PayPal
368,311,8.17,2024-03-04,Gift Card
369,336,405.86,2021-07-26,Apple Pay
370,415,8523.03,2020-02-18,PayPal
371,63,267.68,2020-03-18,Gift Card
372,436,63723.05,2023-05-03,Apple Pay
373,212,4.88,2020-12-28,Gift Card
374,87,5151.14,2020-05-07,PayPal
375,308,4297.03,2022-11-10,Credit Card
376,320,948.46,2023-06-29,Gift Card
377,489,87.45,2022-09-11,Credit Card
378,405,96763.89,2023-03-07,Credit Card
379,407,4.47,2021-09-29,PayPal
380,387,4.97,2023-02-28,Credit Card
381,459,9179.66,2022-08-18,Apple Pay
382,233,2.46,2023-06-13,Gift Card
383,96,67551.45,2022-01-26,Credit Card
384,239,8852.25,2024-02-26,Credit Card
385,4,784.57,2024-03-31,Apple Pay
386,45,963.51,2021-04-19,PayPal
387,291,5.42,2020-04-14,PayPal
388,400,58111.4,2021-05-21,Gift Card
389,241,64307.76,2024-01-16,Gift Card
390,69,31.26,2021-07-05,Gift Card
391,36,66608.82,2021-08-31,Gift Card
392,169,0.45,2024-01-12,Gift Card
393,81,1678.59,2024-03-11,Apple Pay
394,360,175.35,2020-12-21,Gift Card
395,65,95.29,2021-04-26,PayPal
396,134,4.19,2024-09-29,Apple Pay
397,139,3447.89,2024-08-17,PayPal
398,191,55070.27,2022-11-25,Apple Pay
399,306,74.19,2023-03-26,PayPal
400,39,87161.39,2020-06-26,PayPal
401,333,2.42,2024-08-07,Apple Pay
402,292,90.53,2024-08-20,Gift Card
403,437,39.28,2022-05-30,Apple Pay
404,114,73134.65,2021-04-30,PayPal
405,279,28894.38,2021-05-23,Gift Card
406,171,41700.13,2024-11-09,Credit Card
407,218,367.62,2022-09-18,Credit Card
408,413,86.79,2024-08-17,Apple Pay
409,253,8368.78,2020-11-20,Gift Card
410,374,26448.74,2023-09-17,Credit Card
411,141,9026.79,2020-11-24,PayPal
412,236,2.76,2020-03-28,Apple Pay
413,359,761.51,2024-12-23,Gift Card
414,136,17.33,2021-11-18,Apple Pay
415,458,7.73,2020-08-12,Apple Pay
416,418,2.87,2020-09-06,Gift Card
417,270,6.6,2024-03-16,Gift Card
418,263,140.1,2023-06-04,Gift Card
419,148,91.63,2023-08-03,Gift Card
420,74,7.89,2020-09-15,Gift Card
421,144,999.45,2024-06-05,Apple Pay
422,446,47.57,2022-11-11,Apple Pay
423,325,34.82,2023-07-20,Gift Card
424,223,2718.01,2022-02-24,PayPal
425,245,549.42,2023-12-23,Gift Card
426,205,2263.47,2021-06-11,Credit Card
427,390,99911,2024-08-11,Gift Card
428,367,248.48,2023-10-22,Gift Card
429,433,210.67,2022-04-05,Credit Card
430,210,968.48,2020-06-12,PayPal
431,499,82.67,2023-02-09,Credit Card
432,271,774.74,2024-09-28,Gift Card
433,155,940.75,2023-12-05,Apple Pay
434,264,234.89,2024-10-10,Gift Card
435,451,8.12,2022-10-01,Apple Pay
436,49,94.8,2024-01-07,Gift Card
437,129,17951.24,2022-11-15,Gift Card
438,95,28042.87,2022-07-22,PayPal
439,341,7156.23,2021-09-22,Credit Card
440,325,29812.18,2023-04-02,Apple Pay
441,439,7.51,2024-06-11,Credit Card
442,303,3783.9,2021-09-09,Apple Pay
443,455,6.81,2024-11-24,Gift Card
444,359,434.58,2024-06-16,Apple Pay
445,96,3.88,2021-09-16,Gift Card
446,359,8112.73,2020-12-26,Credit Card
447,484,181.6,2023-06-15,PayPal
448,381,626.45,2023-02-16,PayPal
449,342,5.75,2023-08-31,Apple Pay
450,150,873.68,2020-10-05,Gift Card
451,271,9786.62,2021-05-24,PayPal
452,277,737.72,2020-03-15,Credit Card
453,3,62.88,2024-07-22,Gift Card
454,463,303.12,2024-04-17,Apple Pay
455,491,3.49,2020-06-07,Gift Card
456,409,3589.92,2022-11-25,PayPal
457,186,0.58,2020-02-25,Gift Card
458,145,3155.26,2021-08-05,Credit Card
459,194,35.75,2020-06-29,PayPal
460,349,507.31,2022-05-26,Gift Card
461,204,29.88,2022-11-08,Gift Card
462,61,91030.58,2021-06-28,PayPal
463,132,94104.29,2020-08-01,Apple Pay
464,114,982.46,2022-08-24,Apple Pay
465,125,91.64,2021-03-01,Credit Card
466,102,28661.96,2020-10-15,Gift Card
467,243,7.59,2020-06-07,Credit Card
468,365,4826.26,2023-05-30,Credit Card
469,378,798.48,2024-05-05,PayPal
470,296,6.72,2024-09-08,Gift Card
471,216,8514.27,2021-04-11,PayPal
472,143,1.17,2024-08-03,PayPal
473,309,1.74,2021-10-23,PayPal
474,18,6852.39,2023-04-26,Credit Card
475,382,90.23,2024-01-14,Apple Pay
476,20,6.77,2023-01-06,Apple Pay
477,330,9.1,2024-02-07,Gift Card
478,485,0.83,2023-09-28,Credit Card
479,429,58.45,2024-10-14,PayPal
480,54,22.36,2022-11-07,Apple Pay
481,382,9.77,2024-01-28,Gift Card
482,256,30806.8,2024-04-21,Apple Pay
483,196,1.41,2023-12-26,Gift Card
484,366,11001.09,2024-05-17,PayPal
485,468,68.12,2024-07-20,Apple Pay
486,467,4608.53,2024-08-19,Gift Card
487,321,2.04,2020-03-26,Credit Card
488,456,161.82,2024-06-15,PayPal
489,306,70260.17,2024-07-15,Apple Pay
490,7,0.68,2023-12-29,Apple Pay
491,368,780.28,2023-09-07,Credit Card
492,141,967.77,2024-06-09,Gift Card
493,167,9.14,2022-07-31,PayPal
494,263,747.78,2024-01-05,Credit Card
495,450,6438.44,2024-01-08,Apple Pay
496,169,46.22,2024-03-07,Apple Pay
497,314,21214.67,2020-03-05,Credit Card
498,256,4564.09,2024-07-13,Gift Card
499,294,29.5,2022-05-19,PayPal
500,97,222.6,2023-08-19,Gift Card
