order_id,customer_id,order_date,status
199,131,2023-03-10,shipped
200,111,2024-09-25,cancelled
201,4,2021-05-07,shipped
202,125,2023-10-30,delivered
203,176,2024-02-21,cancelled
204,56,2024-06-15,cancelled
205,177,2022-06-10,cancelled
206,190,2024-11-18,shipped
207,111,2023-11-22,pending
208,104,2023-05-17,pending
209,137,2021-11-08,pending
210,36,2024-02-08,shipped
211,138,2022-02-18,pending
212,167,2024-02-16,pending
213,178,2024-11-09,shipped
214,56,2023-12-16,cancelled
215,148,2022-09-14,pending
216,193,2024-05-10,shipped
217,107,2023-12-07,shipped
218,69,2021-07-21,pending
219,86,2021-06-20,delivered
220,107,2021-12-24,shipped
221,107,2024-09-24,shipped
222,131,2021-08-02,cancelled
223,163,2022-11-08,pending
224,39,2024-02-23,cancelled
225,41,2022-01-21,cancelled
226,19,2021-12-10,shipped
227,8,2022-05-12,shipped
228,135,2022-10-12,pending
229,147,2022-07-29,shipped
230,152,2024-05-06,shipped
231,137,2024-10-30,delivered
232,107,2021-11-19,pending
233,170,2024-07-29,cancelled
234,145,2022-10-24,delivered
235,192,2024-07-10,delivered
236,183,2021-07-27,cancelled
237,50,2022-05-08,pending
238,200,2023-05-12,delivered
239,82,2022-10-16,delivered
240,82,2025-01-08,pending
241,169,2024-06-04,shipped
242,75,2024-03-18,pending
243,86,2023-09-18,shipped
244,91,2024-05-22,cancelled
245,47,2022-09-19,delivered
246,71,2021-08-06,pending
247,199,2022-04-28,shipped
248,109,2024-07-18,shipped
249,198,2021-05-12,shipped
250,68,2023-11-25,delivered
251,194,2021-05-25,pending
252,37,2023-11-23,delivered
253,126,2021-08-01,shipped
254,162,2024-05-16,cancelled
255,138,2023-10-26,pending
256,40,2023-04-25,cancelled
257,110,2024-03-18,shipped
258,71,2022-05-17,cancelled
259,164,2024-03-31,cancelled
260,87,2022-04-07,delivered
261,178,2022-09-20,shipped
262,35,2022-12-06,pending
263,188,2022-01-26,delivered
264,101,2024-06-17,delivered
265,87,2022-11-30,pending
266,103,2024-01-05,shipped
267,129,2022-11-24,delivered
268,11,2022-08-29,delivered
269,142,2021-12-24,cancelled
270,190,2022-12-25,cancelled
271,181,2021-11-08,delivered
272,54,2024-08-20,delivered
273,148,2021-10-11,shipped
274,180,2023-10-19,delivered
275,81,2022-07-21,delivered
276,122,2024-09-25,delivered
277,173,2023-09-27,pending
278,141,2023-04-06,shipped
279,135,2024-12-01,pending
280,145,2021-10-07,pending
281,143,2023-03-17,delivered
282,68,2024-01-28,cancelled
283,95,2021-11-03,cancelled
284,156,2023-12-24,shipped
285,43,2024-07-06,pending
286,130,2022-07-14,delivered
287,40,2025-01-10,delivered
288,116,2023-01-25,cancelled
289,139,2022-06-08,cancelled
290,71,2022-01-31,delivered
291,17,2021-09-21,delivered
292,194,2021-08-30,pending
293,124,2021-11-25,delivered
294,11,2024-04-04,pending
295,177,2022-04-28,cancelled
296,9,2024-09-25,cancelled
297,34,2023-05-03,delivered
298,89,2022-01-20,cancelled
299,124,2024-09-14,pending
300,183,2024-12-09,shipped
301,16,2023-09-17,shipped
302,65,2022-07-31,pending
303,161,2024-02-11,shipped
304,146,2023-04-02,cancelled
305,107,2024-08-10,cancelled
306,32,2024-07-22,pending
307,184,2024-10-08,delivered
308,91,2023-07-28,cancelled
309,19,2023-09-29,pending
310,61,2021-06-22,delivered
311,194,2023-11-26,shipped
312,80,2023-03-03,shipped
313,11,2023-08-23,cancelled
314,157,2022-03-07,shipped
315,135,2024-11-20,delivered
316,100,2022-10-13,pending
317,88,2021-11-05,cancelled
318,122,2022-11-03,delivered
319,130,2022-05-31,delivered
320,37,2024-08-16,cancelled
321,158,2024-11-26,shipped
322,24,2024-01-05,shipped
323,155,2022-02-27,delivered
324,120,2022-08-06,cancelled
325,126,2021-07-10,shipped
326,37,2024-07-20,pending
327,186,2021-08-24,pending
328,46,2024-05-08,cancelled
329,43,2022-11-28,pending
330,157,2023-01-22,delivered
331,27,2023-04-13,shipped
332,167,2024-09-20,cancelled
333,182,2023-09-30,cancelled
334,149,2022-09-09,shipped
335,105,2023-02-28,cancelled
336,191,2021-10-07,cancelled
337,185,2024-08-13,cancelled
338,169,2022-12-24,delivered
339,133,2024-01-10,cancelled
340,121,2024-05-16,pending
341,115,2022-04-06,shipped
342,63,2023-01-23,cancelled
343,105,2024-05-18,delivered
344,95,2024-08-06,delivered
345,169,2024-09-22,shipped
346,94,2023-03-22,shipped
347,29,2023-01-17,delivered
348,151,2023-02-02,delivered
349,185,2023-10-08,delivered
350,122,2023-07-29,delivered
351,138,2022-01-12,cancelled
352,53,2021-07-19,pending
353,158,2021-10-07,pending
354,134,2022-01-03,pending
355,25,2022-07-19,delivered
356,150,2024-08-03,cancelled
357,63,2024-06-20,cancelled
358,51,2023-08-25,delivered
359,64,2022-06-30,cancelled
360,195,2023-10-31,delivered
361,153,2021-11-06,cancelled
362,57,2023-07-12,delivered
363,47,2021-06-24,cancelled
364,20,2021-09-21,pending
365,195,2023-10-20,pending
366,140,2024-07-26,shipped
367,22,2023-04-04,cancelled
368,183,2021-09-29,pending
369,89,2024-08-10,pending
370,41,2022-04-08,delivered
371,79,2024-08-19,cancelled
372,177,2021-06-04,pending
373,51,2023-03-17,shipped
374,3,2023-05-22,pending
375,117,2022-01-29,cancelled
376,127,2023-02-09,cancelled
377,196,2022-02-13,pending
378,15,2022-04-24,pending
379,95,2022-09-05,delivered
380,152,2024-04-23,shipped
381,73,2022-10-11,delivered
382,30,2022-05-11,cancelled
383,70,2023-02-28,cancelled
384,143,2023-12-17,shipped
385,114,2021-07-17,cancelled
386,159,2021-05-13,delivered
387,38,2023-10-23,pending
388,194,2022-12-09,delivered
389,38,2023-01-11,shipped
390,138,2023-07-15,pending
391,84,2023-04-10,cancelled
392,193,2023-11-16,pending
393,115,2024-11-06,pending
394,197,2021-05-31,pending
395,30,2022-04-22,pending
396,59,2024-03-24,shipped
397,144,2023-05-05,delivered
398,168,2022-08-22,delivered
399,164,2022-10-18,shipped
400,117,2022-11-24,pending
401,45,2024-01-26,shipped
402,69,2022-08-06,cancelled
403,97,2021-05-02,pending
404,45,2022-09-14,shipped
405,130,2025-01-07,shipped
406,142,2022-06-27,pending
407,124,2022-05-19,pending
408,131,2023-08-05,delivered
409,116,2022-02-27,cancelled
410,56,2024-10-06,pending
411,23,2022-08-13,shipped
412,173,2024-12-07,shipped
413,135,2021-09-09,delivered
414,2,2022-10-09,cancelled
415,83,2022-07-18,cancelled
416,23,2021-11-24,delivered
417,32,2024-05-16,delivered
418,145,2024-04-11,delivered
419,30,2021-07-04,cancelled
420,55,2024-06-11,pending
421,48,2024-10-23,cancelled
422,21,2021-10-23,shipped
423,179,2021-08-21,pending
424,47,2025-01-24,shipped
425,45,2024-03-20,shipped
426,4,2022-07-26,cancelled
427,171,2024-01-27,pending
428,97,2023-02-24,shipped
429,186,2022-12-24,pending
430,187,2023-02-09,shipped
431,5,2021-12-26,shipped
432,81,2021-09-08,delivered
433,19,2021-08-10,delivered
434,54,2023-11-03,cancelled
435,19,2023-01-18,shipped
436,4,2025-01-02,pending
437,183,2023-08-19,delivered
438,58,2024-03-31,delivered
439,99,2021-07-30,cancelled
440,35,2021-10-31,shipped
441,129,2022-03-04,delivered
442,188,2021-09-09,shipped
443,136,2023-03-20,shipped
444,192,2022-02-25,delivered
445,13,2024-03-04,pending
446,72,2025-01-18,shipped
447,23,2024-01-07,pending
448,145,2021-10-11,cancelled
449,104,2022-03-08,shipped
450,163,2023-03-14,cancelled
451,43,2024-10-20,shipped
452,160,2023-04-26,cancelled
453,86,2024-12-22,cancelled
454,131,2024-04-28,shipped
455,24,2024-07-27,delivered
456,15,2023-08-09,shipped
457,16,2021-05-23,cancelled
458,174,2021-05-01,pending
459,102,2022-02-18,cancelled
460,65,2021-09-20,cancelled
461,38,2022-01-25,cancelled
462,197,2023-03-05,pending
463,106,2024-05-13,delivered
464,148,2022-03-09,shipped
465,62,2023-07-14,delivered
466,153,2022-03-04,shipped
467,119,2022-09-30,pending
468,17,2023-06-08,shipped
469,70,2023-09-25,pending
470,152,2022-10-21,cancelled
471,128,2024-03-21,pending
472,52,2022-04-13,pending
473,33,2024-06-01,cancelled
474,17,2024-12-23,pending
475,6,2022-04-14,cancelled
476,59,2022-08-15,delivered
477,21,2022-10-09,cancelled
478,131,2022-10-02,cancelled
479,166,2024-03-17,delivered
480,64,2022-02-04,delivered
481,179,2024-09-05,cancelled
482,166,2024-08-17,pending
483,25,2025-01-27,delivered
484,50,2022-12-22,delivered
485,83,2023-04-01,pending
486,130,2021-12-30,shipped
487,7,2024-01-17,cancelled
488,16,2022-09-09,shipped
489,165,2022-04-25,cancelled
490,158,2023-11-29,shipped
491,129,2021-12-10,delivered
492,125,2022-02-01,shipped
493,107,2023-05-12,delivered
494,78,2022-11-25,delivered
495,61,2024-04-15,pending
496,120,2023-07-21,cancelled
497,126,2021-06-21,cancelled
498,55,2022-08-21,shipped
499,82,2022-11-28,pending
500,97,2023-07-07,shipped
