order_id,customer_id,order_date,total_amount,order_status
284,56,2024-02-24 00:58,67.45,Cancelled
285,118,2024-02-12 17:40,104.61,Completed
286,166,2024-02-06 17:23,45.37,Cancelled
287,187,2024-02-26 17:18,81.55,Cancelled
288,97,2024-02-28 20:44,40.83,Cancelled
289,52,2024-02-14 17:32,39.31,Cancelled
290,189,2024-02-14 23:54,60.74,Completed
291,113,2024-02-26 15:04,70.51,Cancelled
292,146,2024-02-27 21:35,99.59,Cancelled
293,135,2024-02-16 17:25,87.54,Completed
294,31,2024-02-14 16:26,25.34,Completed
295,166,2024-02-14 13:25,132.59,Cancelled
296,124,2024-02-20 14:57,137.8,Cancelled
297,175,2024-02-17 20:35,142.11,Completed
298,94,2024-02-12 19:55,112.75,Completed
299,49,2024-02-15 20:41,50.55,Completed
300,51,2024-02-14 21:18,48.38,Cancelled
