order_item_id,order_id,item_id,quantity
192,268,14,2
193,149,12,4
194,158,17,1
195,254,24,1
196,291,27,4
197,89,28,4
198,148,20,1
199,88,25,2
200,95,23,3
201,258,5,4
202,270,19,5
203,135,5,4
204,142,27,2
205,58,23,4
206,245,9,5
207,201,18,1
208,254,26,2
209,259,3,2
210,180,5,2
211,213,9,5
212,230,9,5
213,129,4,5
214,9,9,1
215,146,21,2
216,9,6,1
217,103,4,1
218,52,18,4
219,178,22,3
220,101,16,2
221,217,8,3
222,194,25,3
223,200,13,5
224,200,23,3
225,150,12,2
226,297,1,4
227,193,4,4
228,163,5,2
229,109,27,5
230,89,8,2
231,267,18,5
232,246,16,3
233,96,25,2
234,228,22,1
235,297,21,3
236,53,13,3
237,31,14,4
238,267,17,5
239,203,23,3
240,8,4,5
241,168,10,2
242,275,10,1
243,156,20,3
244,140,1,5
245,53,29,5
246,224,2,2
247,173,13,4
248,232,25,4
249,43,8,1
250,199,9,2
251,21,2,5
252,219,8,4
253,286,17,5
254,120,4,1
255,83,15,5
256,192,25,1
257,47,30,4
258,100,15,4
259,12,13,4
260,169,15,5
261,93,15,4
262,258,4,5
263,148,14,5
264,269,11,4
265,79,6,3
266,123,19,5
267,296,5,2
268,230,28,5
269,27,5,1
270,87,18,5
271,9,12,2
272,69,28,4
273,101,11,3
274,96,14,4
275,261,10,2
276,98,8,1
277,46,20,3
278,106,23,3
279,207,7,3
280,30,7,3
281,18,3,5
282,134,29,5
283,88,18,3
284,259,18,5
285,204,2,1
286,49,14,3
287,193,9,4
288,6,2,5
289,112,14,5
290,43,14,4
291,273,15,4
292,76,11,3
293,114,19,3
294,11,3,1
295,145,2,2
296,219,10,3
297,275,2,5
298,2,5,2
299,62,14,1
300,268,11,5
301,125,10,4
302,112,2,2
303,251,18,4
304,199,4,2
305,267,3,2
306,72,25,5
307,186,7,3
308,251,18,1
309,89,10,1
310,263,27,2
311,202,10,1
312,31,1,4
313,214,17,4
314,198,15,5
315,78,26,5
316,158,6,2
317,63,20,4
318,289,21,1
319,94,4,3
320,218,1,4
321,118,22,3
322,203,23,5
323,56,6,4
324,197,8,5
325,58,17,2
326,160,18,1
327,165,3,5
328,226,3,1
329,115,14,5
330,5,18,3
331,132,27,3
332,100,22,4
333,102,11,4
334,85,22,3
335,287,12,1
336,119,8,2
337,79,3,1
338,264,15,2
339,120,25,3
340,93,2,2
341,32,15,5
342,63,21,4
343,253,10,1
344,212,13,3
345,235,25,5
346,146,15,3
347,126,6,5
348,27,18,5
349,109,11,2
350,243,20,1
351,50,17,5
352,223,30,1
353,152,9,3
354,38,29,1
355,179,5,2
356,158,1,3
357,165,20,2
358,251,8,4
359,32,5,5
360,127,20,3
361,13,29,2
362,74,13,2
363,192,6,2
364,179,1,1
365,112,6,3
366,243,27,2
367,5,24,5
368,97,30,3
369,169,5,2
370,252,23,4
371,2,11,1
372,182,24,3
373,247,26,3
374,44,17,2
375,134,23,1
376,107,24,2
377,149,9,5
378,16,5,5
379,259,8,4
380,97,25,2
381,145,11,3
382,6,23,3
383,211,11,1
384,5,1,4
385,281,10,2
386,15,4,3
387,219,6,4
388,133,25,1
389,127,5,5
390,92,11,4
391,8,23,3
392,268,12,1
393,279,14,2
394,176,13,2
395,156,13,2
396,157,28,2
397,239,23,4
398,236,16,3
399,228,10,4
400,177,21,1
401,258,27,5
402,50,6,2
403,207,12,2
404,223,11,2
405,176,23,3
406,9,9,1
407,286,26,5
408,240,18,5
409,191,11,2
410,205,10,1
411,212,4,2
412,193,7,3
413,192,8,1
414,271,29,3
415,208,20,1
416,171,8,2
417,83,25,5
418,217,16,2
419,185,28,4
420,7,14,3
421,254,30,3
422,100,11,5
423,101,4,3
424,171,19,2
425,240,30,2
426,57,18,5
427,170,11,1
428,46,25,5
429,141,7,5
430,49,16,2
431,52,6,2
432,95,1,3
433,115,11,5
434,86,13,5
435,122,10,2
436,107,21,1
437,289,24,3
438,194,29,2
439,117,5,3
440,126,23,4
441,169,1,1
442,200,17,4
443,16,16,5
444,244,24,4
445,13,25,3
446,51,6,4
447,117,4,2
448,163,3,3
449,50,24,5
450,72,24,1
451,217,22,5
452,24,12,5
453,53,25,3
454,135,21,4
455,174,21,5
456,22,1,3
457,192,29,5
458,179,11,5
459,12,9,3
460,242,18,3
461,67,4,5
462,269,16,2
463,201,13,2
464,185,29,4
465,99,12,4
466,167,2,2
467,55,23,2
468,119,9,4
469,298,15,2
470,205,21,1
471,133,9,5
472,124,4,1
473,164,15,1
474,74,30,4
475,185,2,5
476,214,9,4
477,197,25,1
478,122,1,1
479,108,25,4
480,84,3,5
481,254,6,5
482,204,25,3
483,279,25,3
484,230,7,1
485,73,6,4
486,78,21,1
487,148,15,5
488,158,21,2
489,113,5,2
490,113,20,3
491,138,6,2
492,123,7,1
493,226,27,3
494,86,25,3
495,181,7,3
496,111,10,5
497,189,15,2
498,45,20,3
499,20,26,5
500,254,26,2
501,197,3,5
502,232,15,5
503,164,14,2
504,143,21,1
505,175,11,2
506,280,18,1
507,171,9,1
508,115,24,5
509,152,11,4
510,218,11,4
511,176,15,1
512,257,4,2
513,36,9,5
514,175,28,3
515,277,17,5
516,187,13,5
517,176,22,3
518,136,24,5
519,23,3,3
520,243,26,1
521,13,26,4
522,14,21,4
523,23,6,2
524,132,24,2
525,119,13,2
526,277,16,2
527,56,27,3
528,97,13,1
529,98,2,5
530,192,1,5
531,240,12,2
532,189,26,1
533,44,27,5
534,268,5,2
535,257,29,1
536,138,11,2
537,4,14,4
538,4,24,3
539,82,3,1
540,46,19,5
541,70,23,2
542,250,16,1
543,234,16,5
544,68,13,1
545,72,23,1
546,210,28,2
547,86,9,5
548,293,19,2
549,250,1,5
550,136,7,5
551,8,18,1
552,56,21,2
553,109,18,2
554,225,8,5
555,33,17,1
556,130,29,4
557,141,18,1
558,161,15,2
559,220,25,1
560,260,26,3
561,60,4,4
562,70,19,5
563,11,20,5
564,90,26,2
565,272,22,5
566,85,29,4
567,37,19,4
568,231,10,4
569,199,15,5
570,108,8,5
571,123,23,4
572,153,10,1
573,1,11,4
574,219,17,2
575,19,14,2
576,297,4,3
577,48,4,1
578,107,10,1
579,87,11,3
580,120,2,5
581,17,24,1
582,292,12,5
583,159,3,2
584,185,20,4
585,108,19,3
586,188,27,4
587,38,12,4
588,297,26,3
589,11,23,4
590,213,6,4
591,154,17,2
592,82,21,3
593,78,6,2
594,185,17,5
595,151,19,5
596,261,30,2
597,165,21,1
598,45,12,4
599,69,6,4
600,16,12,5
601,216,23,4
602,60,1,1
603,215,24,2
604,239,3,4
605,248,11,5
606,257,12,4
607,24,9,2
608,264,18,2
609,88,7,4
610,300,26,4
611,170,12,1
612,280,15,2
613,132,6,1
614,25,7,4
615,137,2,4
616,25,4,2
617,256,19,5
618,72,22,2
619,11,24,5
620,294,26,4
621,101,4,3
622,31,13,4
623,181,26,3
624,290,30,2
625,300,9,1
626,4,11,1
627,30,17,3
628,228,5,3
629,280,5,1
630,82,24,3
631,48,13,5
632,41,1,4
633,190,1,1
634,141,5,4
635,51,15,2
636,280,15,3
637,247,7,4
638,89,26,3
639,40,15,4
640,59,16,5
641,196,29,2
642,76,18,2
643,234,29,5
644,274,30,3
645,217,11,5
646,70,24,3
647,201,1,4
648,66,14,5
649,300,3,3
650,269,17,2
651,91,26,3
652,289,15,4
653,119,28,2
654,113,7,5
655,179,10,2
656,226,2,2
657,251,17,2
658,127,21,5
659,157,15,2
660,179,25,5
661,66,28,5
662,118,10,1
663,270,11,2
664,163,9,3
665,174,16,1
666,73,4,1
667,127,25,1
668,22,28,5
669,227,22,5
670,60,10,5
671,102,3,5
672,182,28,4
673,3,8,5
674,45,9,3
675,278,16,1
676,270,6,2
677,86,24,5
678,147,6,2
679,16,25,2
680,8,5,1
681,119,3,1
682,118,25,5
683,199,14,4
684,141,30,3
685,32,29,1
686,80,27,1
687,169,3,2
688,14,27,1
689,170,13,3
690,29,5,2
691,111,10,4
692,107,6,1
693,104,22,1
694,239,12,3
695,68,26,2
696,134,16,4
697,34,6,5
698,33,12,4
699,115,29,4
700,233,9,4
701,163,26,4
702,244,4,4
703,226,5,3
704,294,14,4
705,46,29,1
706,17,22,5
707,171,12,2
708,76,21,1
709,253,16,5
710,34,22,3
711,122,28,2
712,37,26,1
713,236,19,2
714,271,17,4
715,43,13,1
716,134,10,5
717,240,10,1
718,250,13,3
719,256,6,2
720,41,10,5
721,87,27,3
722,156,30,4
723,30,29,1
724,2,13,5
725,25,6,3
726,127,18,3
727,40,4,5
728,243,10,2
729,151,28,3
730,283,11,2
731,81,25,2
732,268,7,3
733,180,9,4
734,24,19,1
735,167,14,1
736,41,5,5
737,64,24,2
738,195,25,3
739,137,24,2
740,277,18,3
741,194,8,1
742,118,1,5
743,129,13,1
744,200,4,3
745,155,7,1
746,152,22,1
747,111,6,1
748,38,6,5
749,93,23,1
750,57,15,5
751,224,26,1
752,21,21,5
753,149,15,5
754,234,25,5
755,293,11,1
756,28,10,1
757,299,28,2
758,76,5,5
759,82,22,4
760,69,8,1
761,137,12,4
762,51,6,5
763,148,10,2
764,290,30,3
765,78,3,4
766,199,7,1
767,292,27,3
768,146,2,5
769,267,21,5
770,45,13,1
771,149,18,4
772,230,24,3
773,87,3,4
774,224,25,4
775,297,5,5
776,239,15,1
777,200,20,1
778,291,21,5
779,200,19,5
780,109,28,3
781,67,23,5
782,196,26,3
783,59,7,2
784,293,16,1
785,244,23,3
786,290,11,5
787,94,26,5
788,127,2,3
789,264,8,3
790,56,24,1
791,66,5,3
792,206,19,1
793,4,15,4
794,246,21,4
795,58,16,2
796,120,1,2
797,136,7,5
798,16,28,1
799,168,24,4
800,224,27,5
801,77,14,2
802,243,9,4
803,250,25,1
804,261,3,2
805,138,4,5
806,77,16,2
807,204,19,1
808,235,29,5
809,198,18,3
810,168,28,5
811,235,20,5
812,259,28,4
813,142,29,5
814,264,10,4
815,87,26,1
816,55,17,4
817,85,23,3
818,229,23,2
819,58,27,5
820,115,20,4
821,200,20,4
822,58,9,1
823,248,18,4
824,30,5,1
825,165,18,3
826,142,15,3
827,215,5,3
828,26,23,4
829,144,20,2
830,213,4,5
831,224,14,5
832,96,23,4
833,136,5,4
834,221,10,1
835,165,7,5
836,141,19,2
837,297,26,4
838,70,19,2
839,224,19,5
840,47,14,3
841,300,27,3
842,244,18,3
843,160,22,3
844,173,26,1
845,104,22,1
846,57,18,2
847,26,6,2
848,222,9,3
849,235,14,2
850,8,24,2
851,246,14,5
852,31,5,3
853,257,20,5
854,155,6,5
855,15,11,5
856,52,5,5
857,281,16,1
858,21,6,4
859,196,18,2
860,148,1,1
861,33,16,5
862,227,23,5
863,3,23,5
864,151,1,5
865,179,20,1
866,108,10,3
867,153,27,3
868,55,19,3
869,38,6,3
870,92,28,1
871,296,28,4
872,283,26,5
873,137,15,2
874,113,12,3
875,193,30,1
876,232,24,2
877,94,29,3
878,121,20,1
879,23,7,3
880,89,5,5
881,214,20,1
882,288,16,1
883,64,26,2
884,115,24,5
885,232,24,4
886,104,20,2
887,152,22,5
888,83,3,1
889,230,11,4
890,177,26,2
891,76,6,3
892,10,12,3
893,139,2,4
894,262,8,3
895,63,25,3
896,291,8,3
897,216,12,3
898,73,29,4
899,30,7,3
900,86,19,1
901,135,25,5
902,193,8,3
903,76,28,1
904,259,11,5
905,157,21,2
906,225,10,4
907,226,27,2
908,91,8,3
909,106,25,3
910,216,18,5
911,42,5,1
912,123,11,5
913,290,21,5
914,144,3,1
915,101,26,1
916,51,8,1
917,101,9,5
918,63,20,5
919,35,18,4
920,10,14,1
921,60,11,2
922,240,26,5
923,284,15,2
924,202,22,4
925,66,17,5
926,292,22,2
927,46,8,3
928,263,26,4
929,151,22,3
930,264,27,2
931,191,13,4
932,270,21,5
933,226,9,5
934,240,16,1
935,21,29,5
936,167,7,2
937,25,15,1
938,182,26,3
939,5,3,5
940,159,9,2
941,283,17,5
942,248,7,2
943,39,23,5
944,104,29,1
945,89,12,5
946,124,29,3
947,154,30,5
948,232,20,3
949,243,24,4
950,184,11,1
951,128,21,3
952,244,17,2
953,221,18,2
954,273,1,5
955,73,20,3
956,285,5,5
957,109,4,3
958,6,24,1
959,121,9,4
960,203,18,2
961,223,27,5
962,161,1,5
963,73,7,5
964,17,7,3
965,212,2,3
966,131,22,4
967,212,14,4
968,263,10,3
969,193,9,4
970,69,19,2
971,25,23,1
972,154,14,1
973,260,17,4
974,146,16,4
975,38,13,5
976,199,7,2
977,197,28,1
978,201,28,3
979,122,9,5
980,199,6,5
981,236,13,1
982,175,17,4
983,130,25,3
984,299,18,1
985,50,28,3
986,65,9,2
987,196,23,1
988,288,24,2
989,231,17,4
990,183,1,3
991,58,20,3
992,130,14,2
993,47,11,4
994,138,28,5
995,240,11,5
996,31,16,3
997,241,9,1
998,271,25,4
999,31,26,5
1000,11,25,4
